created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2024-04-12T14:30:09+00:00,385,27.2,74.0,,,,
2024-04-12T14:30:40+00:00,386,27.2,74.1,,,,
2024-04-12T14:30:56+00:00,387,27.2,73.8,,,,
2024-04-12T14:31:23+00:00,388,27.2,73.9,,,,
2024-04-12T14:31:42+00:00,389,27.1,74.2,,,,
2024-04-12T14:32:10+00:00,390,27.2,74.2,,,,
2024-04-12T14:32:40+00:00,391,27.2,74.3,,,,
2024-04-12T14:33:01+00:00,392,27.2,74.2,,,,
2024-04-12T14:33:59+00:00,393,27.2,74.2,,,,
2024-04-12T14:34:17+00:00,394,27.2,74.6,,,,
2024-04-12T14:34:56+00:00,395,27.2,74.1,,,,
2024-04-12T14:35:18+00:00,396,27.2,74.1,,,,
2024-04-12T14:35:45+00:00,397,27.2,74.1,,,,
2024-04-12T14:36:02+00:00,398,27.1,74.3,,,,
2024-04-12T14:36:22+00:00,399,27.3,74.1,,,,
2024-04-12T14:36:38+00:00,400,27.2,74.3,,,,
2024-04-12T14:37:14+00:00,401,27.2,74.1,,,,
2024-04-12T14:37:45+00:00,402,26.9,74.3,,,,
2024-04-12T14:38:01+00:00,403,27.2,74.2,,,,
2024-04-12T14:38:17+00:00,404,27.3,74.0,,,,
2024-04-12T14:39:15+00:00,405,27.2,74.2,,,,
2024-04-12T14:39:42+00:00,406,27.1,74.3,,,,
2024-04-12T14:40:04+00:00,407,27.3,74.5,,,,
2024-04-12T14:40:20+00:00,408,27.2,74.3,,,,
2024-04-12T14:40:49+00:00,409,27.2,74.2,,,,
2024-04-12T14:41:13+00:00,410,27.1,73.9,,,,
2024-04-12T14:41:32+00:00,411,27.2,74.1,,,,
2024-04-12T14:42:06+00:00,412,27.2,74.0,,,,
2024-04-12T14:42:22+00:00,413,27.0,74.1,,,,
2024-04-12T14:43:11+00:00,414,27.2,74.1,,,,
2024-04-12T14:43:37+00:00,415,27.2,74.1,,,,
2024-04-12T14:44:03+00:00,416,27.2,74.1,,,,
